FinInstrmGnlAttrbts.Id,FinInstrmGnlAttrbts.FullNm,FinInstrmGnlAttrbts.ClssfctnTp,FinInstrmGnlAttrbts.CmmdtyDerivInd,FinInstrmGnlAttrbts.NtnlCcy,Issr
DE000A1R07V3,Kreditanst.f.Wiederaufbau     Anl.v.2014 (2021),DBFTFB,false,EUR,549300GDPG70E3MBBU98
DE000A1R07V3,KFW 1 5/8 01/15/21,DBFTFB,false,EUR,549300GDPG70E3MBBU98
DE000A1R07V3,Kreditanst.f.Wiederaufbau Anl.v.2014 (2021),DBFTFB,false,EUR,549300GDPG70E3MBBU98
DE000A1R07V3,Kreditanst.f.Wiederaufbau Anl.v.2014 (2021),DBFTFB,false,EUR,549300GDPG70E3MBBU98
DE000A1X3J56,IKB Deutsche Industriebank AG Stufenz.MTN-IHS v.2014(2021),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A1X3J56,IKB Deutsche Industriebank AG Stufenz.MTN-IHS v.2014(2021),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A1X3J56,LSFEU  3.700  1/20/21 (URegS),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A1YC5L8,NIESA Float 01/15/21 BOND,DNVTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A1YC5L8,NIESA Float 01/15/21 BOND,DNVTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A1YC5L8,NIESA  1/15/21 (FRN) NIEDERSACHSEN,DNVTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2252F1,EURJPY Long 125.4520201229,RFCTCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2253D4,Italy 40 Long 2230020210106,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2253N3,France 40 Long 557520210112,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2253R4,Spain 35 Long 825020210112,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A225468,US Tech 100 Long 12787.520210113,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A225492,Italy 40 Long 2230020210114,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2254A8,Italy 40 Long 2250020210114,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2254B6,US Tech 100 Long 12862.520210114,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A2254D2,FTSE 100 Long 6712.520210114,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A229742,EURUSD Long 1.20620201210,RFCTCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22NS07,Germany 30 Long 1374020210106,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22NS64,Germany 30 Long 1386020210111,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22PE84,Wall Street Long 3062520210106,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22PF26,US 500 Long 376520210107,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22PF42,Wall Street Long 3087520210111,RFITCB,false,EUR,213800MYZ42K9PTIJ680
DE000A22PGV0,Wall Street Short 3087520210115,RFITPB,false,EUR,213800MYZ42K9PTIJ680
DE000A22PY80,Gold Long 183020210111,RFTTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q1Q9,Gold Long 184220210115,RFTTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q1S5,Brent Crude Long 54.9520210111,RFMTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q1T3,US Crude Long 51.920210112,RFMTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q221,Gold Short 185420210114,RFTTPB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q338,US Crude Long 52.520210114,RFMTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q403,Brent Crude Long 55.6520210114,RFMTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A22Q4B5,US Crude Long 53.120210114,RFMTCB,true,EUR,213800MYZ42K9PTIJ680
DE000A2AAJ76,"Niedersachsen, Land           Landessch.v.16(21) Ausg.858",DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,"Niedersachsen, Land Landessch.v.16(21) Ausg.858",DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,"Niedersachsen, Land Landessch.v.16(21) Ausg.858",DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,SACHAN  0.100  1/20/21,DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,Niedersachsen 21,DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,NIESA 0.1 01/20/21,DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2AAJ76,NIESA 0.1 01/20/21,DNFTFB,false,EUR,391200ITQQZ7JMHXK080
DE000A2BN9W0,IKB Deutsche Industriebank AG Festzins Plus 01/21 v.17(21),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A2BN9W0,IKB Deutsche Industriebank AG Festzins Plus 01/21 v.17(21),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A2BN9W0,LSFEU  1.300  1/20/21 (URegS),DTVUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A2E4D18,SACHAN 0 01/22/21,DYFTXB,false,EUR,529900LA98JTSA1MF831
DE000A2E4QE8,IKB Deutsche Industriebank AG MTN-IHS v.2017(2021),DTFUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A2E4QE8,IKB Deutsche Industriebank AG MTN-IHS v.2017(2021),DTFUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A2E4QE8,LSFEU  1.200  1/20/21 (URegS),DTFUFB,false,EUR,PWEFG14QWWESISQ84C69
DE000A3H21V1,Velero Immobilien AGNamens-Aktien o.N.,ESVUFR,false,EUR,529900V7S2RCPU0XFA24
DE000BHY1257,BHH 2 01/22/21,DBFUGB,false,EUR,529900C4RSSBWXBSY931
DE000C20QLG9,OEMB SI 20210115 PS AM C 94.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C20QLH7,OEMB SI 20210115 PS AM P 94.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C22PH63,OQDE SI 20210115 PS AM C 116.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C22PH71,OQDE SI 20210115 PS AM P 116.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C23LB39,OHYU SI 20210115 PS AM C 89.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C23LB47,OHYU SI 20210115 PS AM P 89.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C23LB54,OHYU SI 20210115 PS AM C 90.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C23LB62,OHYU SI 20210115 PS AM P 90.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C257SG3,OEMB SI 20210115 PS AM C 112.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C257SH1,OEMB SI 20210115 PS AM P 112.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C257T68,OHYU SI 20210115 PS AM C 105.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C257T76,OHYU SI 20210115 PS AM P 105.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25AS31,OHYU SI 20210115 PS AM C 106.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25AS49,OHYU SI 20210115 PS AM P 106.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25HCD3,OEMB SI 20210115 PS AM C 113.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25HCE1,OEMB SI 20210115 PS AM P 113.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25HD56,OHYU SI 20210115 PS AM C 107.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C25HD64,OHYU SI 20210115 PS AM P 107.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26JNV6,OHYU SI 20210115 PS AM C 108.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26JNW4,OHYU SI 20210115 PS AM P 108.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26JTJ8,OQDE SI 20210115 PS AM C 117.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26JTK6,OQDE SI 20210115 PS AM P 117.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26ZJV0,OEMB SI 20210115 PS AM C 114.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C26ZJW8,OEMB SI 20210115 PS AM P 114.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27L1Y1,OQDE SI 20210115 PS AM C 118.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27L1Z8,OQDE SI 20210115 PS AM P 118.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XT80,OEMB SI 20210115 PS AM C 115.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XT98,OEMB SI 20210115 PS AM P 115.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XU20,OHYU SI 20210115 PS AM C 109.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XU38,OHYU SI 20210115 PS AM P 109.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XXA8,OQDE SI 20210115 PS AM C 119.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C27XXB6,OQDE SI 20210115 PS AM P 119.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2VEA80,GLJM SI 20210115 CS,FCECSX,true,USD,529900J0JGLSFDWNFC20
DE000C2WMX82,OEMB SI 20210115 PS AM C 97.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMX90,OEMB SI 20210115 PS AM P 97.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXA3,OEMB SI 20210115 PS AM C 98.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXB1,OEMB SI 20210115 PS AM P 98.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXC9,OEMB SI 20210115 PS AM C 99.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXD7,OEMB SI 20210115 PS AM P 99.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXE5,OEMB SI 20210115 PS AM C 100.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXF2,OEMB SI 20210115 PS AM P 100.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXG0,OEMB SI 20210115 PS AM C 101.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXH8,OEMB SI 20210115 PS AM P 101.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXJ4,OEMB SI 20210115 PS AM C 102.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXK2,OEMB SI 20210115 PS AM P 102.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXL0,OEMB SI 20210115 PS AM C 103.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXM8,OEMB SI 20210115 PS AM P 103.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXN6,OEMB SI 20210115 PS AM C 104.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXP1,OEMB SI 20210115 PS AM P 104.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXQ9,OEMB SI 20210115 PS AM C 105.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXR7,OEMB SI 20210115 PS AM P 105.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXS5,OEMB SI 20210115 PS AM C 106.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXT3,OEMB SI 20210115 PS AM P 106.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXU1,OEMB SI 20210115 PS AM C 107.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXV9,OEMB SI 20210115 PS AM P 107.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXW7,OEMB SI 20210115 PS AM C 108.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXX5,OEMB SI 20210115 PS AM P 108.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXY3,OEMB SI 20210115 PS AM C 109.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMXZ0,OEMB SI 20210115 PS AM P 109.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMY08,OEMB SI 20210115 PS AM C 110.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WMY16,OEMB SI 20210115 PS AM P 110.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WN928,OHYU SI 20210115 PS AM C 95.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WN936,OHYU SI 20210115 PS AM P 95.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WN944,OHYU SI 20210115 PS AM C 96.00 0,OCAIPS,false,USD,529900UT4DG0LG5R9O07
DE000C2WN951,OHYU SI 20210115 PS AM P 96.00 0,OPAIPS,false,USD,529900UT4DG0LG5R9O07
CH0483993256,UBS MSF CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0483995053,UBS NVD CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0483995558,UBS NVD CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0484021032,UBS PRG CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0484021040,UBS PRG CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0484021057,UBS PRG CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0486072439,UBS AMZ CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0501364886,EMT SGIS CallableReverseConvertible,DEDFSB,false,CHF,549300QNMDBVTHX8H127
CH0512281723,Call Optionsschein auf Electronic Arts,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0512288801,UBS IDX CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0512292936,UBS IDX CAL 21C,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0513597234,Leonteq Securities AG EO-Anl. 2020(21) Saint-Gobain,DECFTS,false,EUR,ML61HP3A4MKTTA1ZB671
CH0513597242,Leonteq Securities AG EO-Anl. 2020(21) Vivendi,DECFTS,false,EUR,ML61HP3A4MKTTA1ZB671
CH0515110416,EMT SGIS BarrierReverseConvertible,DEDFRS,false,EUR,549300QNMDBVTHX8H127
CH0515110432,EMT SGIS BarrierReverseConvertible,DEDFRS,false,USD,549300QNMDBVTHX8H127
CH0515111273,EMT SGIS PhoenixWithGuaranteedCoupo,DEDFRB,false,USD,549300QNMDBVTHX8H127
CH0515111307,EMT SGIS PhoenixWithGuaranteedCoupo,DEDFRB,false,USD,549300QNMDBVTHX8H127
CH0515111331,EMT SGIS PhoenixWithGuaranteedCoupo,DEDFRB,false,USD,549300QNMDBVTHX8H127
CH0516983910,Leonteq Secs AG (Guernsey Br.)DL-Aktien abh. Anl. 2020(21),DECFRS,false,USD,ML61HP3A4MKTTA1ZB671
CH0516983928,Leonteq Secs AG (Guernsey Br.)DL-Aktien abh. Anl. 2020(21),DECFRS,false,USD,ML61HP3A4MKTTA1ZB671
CH0522355954,.GDAXI   14000.0 Call 15/01/21,RWINCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522356739,.GDAXI   11500.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522357034,.GDAXI   13000.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522357091,.GDAXI   13300.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0522706008,Leonteq Secs AG (Guernsey Br.)EO-Anl. 20(21) Deutsche Bank,DECFTS,false,EUR,ML61HP3A4MKTTA1ZB671
CH0523585138,EMT SGIS BarrierReverseConvertible,DEDFRI,false,EUR,549300QNMDBVTHX8H127
CH0527362310,.GDAXI   11000.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0527362328,.GDAXI   11050.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0529768670,.GDAXI   10400.0 Put 15/01/21,RWINPA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0529789882,EMT SGIS BarrierReverseConvertible,DEDFRS,false,EUR,549300QNMDBVTHX8H127
CH0529789908,EMT SGIS ClassicalReverseConvertibl,DEXXRS,false,EUR,549300QNMDBVTHX8H127
CH0532234033,EMT SGIS PhoenixWithGuaranteedCoupo,DEEFRS,false,USD,549300QNMDBVTHX8H127
CH0532239453,EMT SGIS BarrierReverseConvertible,DEDFRS,false,CHF,549300QNMDBVTHX8H127
CH0532242549,EMT SGIS ClassicalReverseConvertibl,DEXXRS,false,USD,549300QNMDBVTHX8H127
CH0532242614,EMT SGIS BarrierReverseConvertible,DEDFRS,false,USD,549300QNMDBVTHX8H127
CH0535734591,.GDAXI   11500.0 Call 15/01/21,RWINCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0555288809,LQ BARR EXP RACE FCA PIRELLI 60 170725,DEEVRB,false,EUR,ML61HP3A4MKTTA1ZB671
CH0567836108,AAPL.OQ  115.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836116,AAPL.OQ  120.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836132,AAPL.OQ  130.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836140,AAPL.OQ  135.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567836157,AAPL.OQ  140.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567840837,AAPL.OQ  165.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0567840845,AAPL.OQ  170.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991473,TSLA.OQ  690.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991499,TSLA.OQ  700.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991507,TSLA.OQ  705.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0583991531,TSLA.OQ  720.0 Call 15/01/21,RWSNCA,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586390194,.GDAXI   13860.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394014,.GDAXI   13825.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394022,.GDAXI   13820.0 Call 26/02/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CH0586394246,.GDAXI   13850.0 Call 30/03/21,RWINCE,false,EUR,BFM8T61CT2L1QCEMIK50
CNE100000445,Shanghai Prime Machinery Ord Shs H,ESVUFB,false,CNY,529900GILL2J4NM9PD20
